technique_id,is_subtechnique,parent_id,name,tactics,tactic_ids,platforms,data_components,detection_guidance,mitigations,url,description
T1218.003,Yes,T1218,CMSTP,Stealth,TA0005,Windows,,,M1038 Execution Prevention | M1042 Disable or Remove Feature or Program,https://attack.mitre.org/techniques/T1218/003,Adversaries may abuse CMSTP to proxy execution of malicious code. The Microsoft Connection Manager Profile Installer (CMSTP.exe) is a command-line program used to install Connection Manager service profiles. (Citation: Microsoft Connection Manager Oct 2009) CMSTP.exe accepts an installation information file (INF) as a parameter and installs a service profile leveraged for remote access connections.
T1218.004,Yes,T1218,InstallUtil,Stealth,TA0005,Windows,,,M1038 Execution Prevention | M1042 Disable or Remove Feature or Program,https://attack.mitre.org/techniques/T1218/004,Adversaries may use InstallUtil to proxy execution of code through a trusted Windows utility. InstallUtil is a command-line utility that allows for installation and uninstallation of resources by executing specific installer components specified in .NET binaries. (Citation: MSDN InstallUtil) The InstallUtil binary may also be digitally signed by Microsoft and located in the .NET directories on a Windows system: <code>C:\Windows\Microsoft.NET\Framework\v<version>\InstallUtil.exe</code> and <code>C:\Windows\Microsoft.NET\Framework64\v<version>\InstallUtil.exe</code>.
T1218.005,Yes,T1218,Mshta,Stealth,TA0005,Windows,,,M1038 Execution Prevention | M1042 Disable or Remove Feature or Program,https://attack.mitre.org/techniques/T1218/005,Adversaries may abuse mshta.exe to proxy execution of malicious .hta files and Javascript or VBScript through a trusted Windows utility. There are several examples of different types of threats leveraging mshta.exe during initial compromise and for execution of code (Citation: Cylance Dust Storm) (Citation: Red Canary HTA Abuse Part Deux) (Citation: FireEye Attacks Leveraging HTA) (Citation: Airbus Security Kovter Analysis) (Citation: FireEye FIN7 April 2017) 
T1218.007,Yes,T1218,Msiexec,Stealth,TA0005,Windows,,,M1026 Privileged Account Management | M1042 Disable or Remove Feature or Program,https://attack.mitre.org/techniques/T1218/007,Adversaries may abuse msiexec.exe to proxy execution of malicious payloads. Msiexec.exe is the command-line utility for the Windows Installer and is thus commonly associated with executing installation packages (.msi).(Citation: Microsoft msiexec) The Msiexec.exe binary may also be digitally signed by Microsoft.
T1218.008,Yes,T1218,Odbcconf,Stealth,TA0005,Windows,,,M1038 Execution Prevention | M1042 Disable or Remove Feature or Program,https://attack.mitre.org/techniques/T1218/008,Adversaries may abuse odbcconf.exe to proxy execution of malicious payloads. Odbcconf.exe is a Windows utility that allows you to configure Open Database Connectivity (ODBC) drivers and data source names.(Citation: Microsoft odbcconf.exe) The Odbcconf.exe binary may be digitally signed by Microsoft.
T1218.009,Yes,T1218,Regsvcs/Regasm,Stealth,TA0005,Windows,,,M1038 Execution Prevention | M1042 Disable or Remove Feature or Program,https://attack.mitre.org/techniques/T1218/009,Adversaries may abuse Regsvcs and Regasm to proxy execution of code through a trusted Windows utility. Regsvcs and Regasm are Windows command-line utilities that are used to register .NET [Component Object Model](https://attack.mitre.org/techniques/T1559/001) (COM) assemblies. Both are binaries that may be digitally signed by Microsoft. (Citation: MSDN Regsvcs) (Citation: MSDN Regasm)
T1218.010,Yes,T1218,Regsvr32,Stealth,TA0005,Windows,,,M1050 Exploit Protection,https://attack.mitre.org/techniques/T1218/010,"Adversaries may abuse Regsvr32.exe to proxy execution of malicious code. Regsvr32.exe is a command-line program used to register and unregister object linking and embedding controls, including dynamic link libraries (DLLs), on Windows systems. The Regsvr32.exe binary may also be signed by Microsoft. (Citation: Microsoft Regsvr32)"
T1218.011,Yes,T1218,Rundll32,Stealth,TA0005,Windows,,,M1050 Exploit Protection,https://attack.mitre.org/techniques/T1218/011,"Adversaries may abuse rundll32.exe to proxy execution of malicious code. Using rundll32.exe, vice executing directly (i.e. [Shared Modules](https://attack.mitre.org/techniques/T1129)), may avoid triggering security tools that may not monitor execution of the rundll32.exe process because of allowlists or false positives from normal operations. Rundll32.exe is commonly associated with executing DLL payloads (ex: <code>rundll32.exe {DLLname, DLLfunction}</code>)."
T1218.012,Yes,T1218,Verclsid,Stealth,TA0005,Windows,,,M1037 Filter Network Traffic | M1038 Execution Prevention | M1042 Disable or Remove Feature or Program,https://attack.mitre.org/techniques/T1218/012,Adversaries may abuse verclsid.exe to proxy execution of malicious code. Verclsid.exe is known as the Extension CLSID Verification Host and is responsible for verifying each shell extension before they are used by Windows Explorer or the Windows Shell.(Citation: WinOSBite verclsid.exe)
T1218.013,Yes,T1218,Mavinject,Stealth,TA0005,Windows,,,M1038 Execution Prevention | M1042 Disable or Remove Feature or Program,https://attack.mitre.org/techniques/T1218/013,"Adversaries may abuse mavinject.exe to proxy execution of malicious code. Mavinject.exe is the Microsoft Application Virtualization Injector, a Windows utility that can inject code into external processes as part of Microsoft Application Virtualization (App-V).(Citation: LOLBAS Mavinject)"
T1218.014,Yes,T1218,MMC,Stealth,TA0005,Windows,,,M1038 Execution Prevention | M1042 Disable or Remove Feature or Program,https://attack.mitre.org/techniques/T1218/014,"Adversaries may abuse mmc.exe to proxy execution of malicious .msc files. Microsoft Management Console (MMC) is a binary that may be signed by Microsoft and is used in several ways in either its GUI or in a command prompt.(Citation: win_mmc)(Citation: what_is_mmc) MMC can be used to create, open, and save custom consoles that contain administrative tools created by Microsoft, called snap-ins. These snap-ins may be used to manage Windows systems locally or remotely. MMC can also be used to open Microsoft created .msc files to manage system configuration.(Citation: win_msc_files_overview)"
T1218.015,Yes,T1218,Electron Applications,Stealth,TA0005,Linux; macOS; Windows,,,M1038 Execution Prevention | M1042 Disable or Remove Feature or Program | M1050 Exploit Protection,https://attack.mitre.org/techniques/T1218/015,"Adversaries may abuse components of the Electron framework to execute malicious code. The Electron framework hosts many common applications such as Signal, Slack, and Microsoft Teams.(Citation: Electron 2) Originally developed by GitHub, Electron is a cross-platform desktop application development framework that employs web technologies like JavaScript, HTML, and CSS.(Citation: Electron 3) The Chromium engine is used to display web content and Node.js runs the backend code.(Citation: Electron 1)"
T1219,No,,Remote Access Tools,Command and Control,TA0011,Linux; macOS; Windows,,,M1031 Network Intrusion Prevention | M1034 Limit Hardware Installation | M1037 Filter Network Traffic | M1038 Execution Prevention | M1042 Disable or Remove Feature or Program,https://attack.mitre.org/techniques/T1219,"An adversary may use legitimate remote access tools to establish an interactive command and control channel within a network. Remote access tools create a session between two trusted hosts through a graphical interface, a command line interaction, a protocol tunnel via development or management software, or hardware-level access such as KVM (Keyboard, Video, Mouse) over IP solutions. Desktop support software (usually graphical interface) and remote management software (typically command line interface) allow a user to control a computer remotely as if they are a local user inheriting the user "
T1219.001,Yes,T1219,IDE Tunneling,Command and Control,TA0011,Linux; macOS; Windows,,,M1038 Execution Prevention,https://attack.mitre.org/techniques/T1219/001,"Adversaries may abuse Integrated Development Environment (IDE) software with remote development features to establish an interactive command and control channel on target systems within a network. IDE tunneling combines SSH, port forwarding, file sharing, and debugging into a single secure connection, letting developers work on remote systems as if they were local. Unlike SSH and port forwarding, IDE tunneling encapsulates an entire session and may use proprietary tunneling protocols alongside SSH, allowing adversaries to blend in with legitimate development workflows. Some IDEs, like Visual S"
T1219.002,Yes,T1219,Remote Desktop Software,Command and Control,TA0011,Linux; macOS; Windows,,,M1037 Filter Network Traffic | M1038 Execution Prevention | M1042 Disable or Remove Feature or Program,https://attack.mitre.org/techniques/T1219/002,"An adversary may use legitimate desktop support software to establish an interactive command and control channel to target systems within networks. Desktop support software provides a graphical interface for remotely controlling another computer, transmitting the display output, keyboard input, and mouse control between devices using various protocols. Desktop support software, such as `VNC`, `Team Viewer`, `AnyDesk`, `ScreenConnect`, `LogMein`, `AmmyyAdmin`, and other remote monitoring and management (RMM) tools, are commonly used as legitimate technical support software and may be allowed by"
T1219.003,Yes,T1219,Remote Access Hardware,Command and Control,TA0011,Linux; macOS; Windows,,,M1034 Limit Hardware Installation,https://attack.mitre.org/techniques/T1219/003,"An adversary may use legitimate remote access hardware to establish an interactive command and control channel to target systems within networks. These services, including IP-based keyboard, video, or mouse (KVM) devices such as TinyPilot and PiKVM, are commonly used as legitimate tools and may be allowed by peripheral device policies within a target environment.  "
T1220,No,,XSL Script Processing,Stealth,TA0005,Windows,,,M1038 Execution Prevention,https://attack.mitre.org/techniques/T1220,"Adversaries may bypass application control and obscure execution of code by embedding scripts inside XSL files. Extensible Stylesheet Language (XSL) files are commonly used to describe the processing and rendering of data within XML files. To support complex operations, the XSL standard includes support for embedded scripting in various languages. (Citation: Microsoft XSLT Script Mar 2017)"
T1221,No,,Template Injection,Stealth,TA0005,Windows,,,M1017 User Training | M1031 Network Intrusion Prevention | M1042 Disable or Remove Feature or Program | M1049 Antivirus/Antimalware,https://attack.mitre.org/techniques/T1221,"Adversaries may create or modify references in user document templates to conceal malicious code or force authentication attempts. For example, Microsoft’s Office Open XML (OOXML) specification defines an XML-based format for Office documents (.docx, xlsx, .pptx) to replace older binary formats (.doc, .xls, .ppt). OOXML files are packed together ZIP archives compromised of various XML files, referred to as parts, containing properties that collectively define how a document is rendered.(Citation: Microsoft Open XML July 2017)"
T1222,No,,File and Directory Permissions Modification,Defense Impairment,TA0112,ESXi; Linux; macOS; Windows,,,M1022 Restrict File and Directory Permissions | M1026 Privileged Account Management,https://attack.mitre.org/techniques/T1222,"Adversaries may modify file or directory permissions/attributes to evade access control lists (ACLs) and access protected files.(Citation: Hybrid Analysis Icacls1 June 2018)(Citation: Hybrid Analysis Icacls2 May 2018) File and directory permissions are commonly managed by ACLs configured by the file or directory owner, or users with the appropriate permissions. File and directory ACL implementations vary by platform, but generally explicitly designate which users or groups can perform which actions (read, write, execute, etc.)."
T1222.001,Yes,T1222,Windows Permissions,Defense Impairment,TA0112,Windows,,,M1022 Restrict File and Directory Permissions | M1026 Privileged Account Management,https://attack.mitre.org/techniques/T1222/001,"Adversaries may modify file or directory permissions/attributes to evade access control lists (ACLs) and access protected files.(Citation: Hybrid Analysis Icacls1 June 2018)(Citation: Hybrid Analysis Icacls2 May 2018) File and directory permissions are commonly managed by ACLs configured by the file or directory owner, or users with the appropriate permissions. File and directory ACL implementations vary by platform, but generally explicitly designate which users or groups can perform which actions (read, write, execute, etc.)."
T1222.002,Yes,T1222,Linux and Mac Permissions,Defense Impairment,TA0112,Linux; macOS,,,M1022 Restrict File and Directory Permissions | M1026 Privileged Account Management,https://attack.mitre.org/techniques/T1222/002,"Adversaries may modify file or directory permissions/attributes to evade access control lists (ACLs) and access protected files.(Citation: Hybrid Analysis Icacls1 June 2018)(Citation: Hybrid Analysis Icacls2 May 2018) File and directory permissions are commonly managed by ACLs configured by the file or directory owner, or users with the appropriate permissions. File and directory ACL implementations vary by platform, but generally explicitly designate which users or groups can perform which actions (read, write, execute, etc.)."
T1480,No,,Execution Guardrails,Stealth,TA0005,ESXi; Linux; macOS; Windows,,,M1055 Do Not Mitigate,https://attack.mitre.org/techniques/T1480,"Adversaries may use execution guardrails to constrain execution or actions based on adversary supplied and environment specific conditions that are expected to be present on the target. Guardrails ensure that a payload only executes against an intended target and reduces collateral damage from an adversary’s campaign.(Citation: FireEye Kevin Mandia Guardrails) Values an adversary can provide about a target system or environment to use as guardrails may include specific network share names, attached physical devices, files, joined Active Directory (AD) domains, and local/external IP addresses.("
T1480.001,Yes,T1480,Environmental Keying,Stealth,TA0005,Linux; Windows; macOS,,,M1055 Do Not Mitigate,https://attack.mitre.org/techniques/T1480/001,Adversaries may environmentally key payloads or other features of malware to evade defenses and constraint execution to a specific target environment. Environmental keying uses cryptography to constrain execution or actions based on adversary supplied environment specific conditions that are expected to be present on the target. Environmental keying is an implementation of [Execution Guardrails](https://attack.mitre.org/techniques/T1480) that utilizes cryptographic techniques for deriving encryption/decryption keys from specific types of values in a given computing environment.(Citation: EK Cl
T1480.002,Yes,T1480,Mutual Exclusion,Stealth,TA0005,Linux; macOS; Windows,,,M1055 Do Not Mitigate,https://attack.mitre.org/techniques/T1480/002,Adversaries may constrain execution or actions based on the presence of a mutex associated with malware. A mutex is a locking mechanism used to synchronize access to a resource. Only one thread or process can acquire a mutex at a given time.(Citation: Microsoft Mutexes)
T1482,No,,Domain Trust Discovery,Discovery,TA0007,Windows,,,M1030 Network Segmentation | M1047 Audit,https://attack.mitre.org/techniques/T1482,"Adversaries may attempt to gather information on domain trust relationships that may be used to identify lateral movement opportunities in Windows multi-domain/forest environments. Domain trusts provide a mechanism for a domain to allow access to resources based on the authentication procedures of another domain.(Citation: Microsoft Trusts) Domain trusts allow the users of the trusted domain to access resources in the trusting domain. The information discovered may help the adversary conduct [SID-History Injection](https://attack.mitre.org/techniques/T1134/005), [Pass the Ticket](https://attac"
T1484,No,,Domain or Tenant Policy Modification,Defense Impairment; Privilege Escalation,TA0112; TA0004,Windows; Identity Provider,,,M1018 User Account Management | M1026 Privileged Account Management | M1047 Audit,https://attack.mitre.org/techniques/T1484,"Adversaries may modify the configuration settings of a domain or identity tenant to evade defenses and/or escalate privileges in centrally managed environments. Such services provide a centralized means of managing identity resources such as devices and accounts, and often include configuration settings that may apply between domains or tenants such as trust relationships, identity syncing, or identity federation."
T1484.001,Yes,T1484,Group Policy Modification,Defense Impairment; Privilege Escalation,TA0112; TA0004,Windows,,,M1018 User Account Management | M1047 Audit,https://attack.mitre.org/techniques/T1484/001,"Adversaries may modify Group Policy Objects (GPOs) to subvert the intended discretionary access controls for a domain, usually with the intention of escalating privileges on the domain. Group policy allows for centralized management of user and computer settings in Active Directory (AD). GPOs are containers for group policy settings made up of files stored within a predictable network path `\<DOMAIN>\SYSVOL\<DOMAIN>\Policies\`.(Citation: TechNet Group Policy Basics)(Citation: ADSecurity GPO Persistence 2016) "
T1484.002,Yes,T1484,Trust Modification,Defense Impairment; Privilege Escalation,TA0112; TA0004,Identity Provider; Windows,,,M1018 User Account Management | M1026 Privileged Account Management,https://attack.mitre.org/techniques/T1484/002,"Adversaries may add new domain trusts, modify the properties of existing domain trusts, or otherwise change the configuration of trust relationships between domains and tenants to evade defenses and/or elevate privileges.Trust details, such as whether or not user identities are federated, allow authentication and authorization properties to apply between domains or tenants for the purpose of accessing shared resources.(Citation: Microsoft - Azure AD Federation) These trust objects may include accounts, credentials, and other authentication material applied to servers, tokens, and domains."
T1485,No,,Data Destruction,Impact,TA0040,Containers; ESXi; IaaS; Linux; macOS; Windows,,,M1018 User Account Management | M1032 Multi-factor Authentication | M1053 Data Backup,https://attack.mitre.org/techniques/T1485,"Adversaries may destroy data and files on specific systems or in large numbers on a network to interrupt availability to systems, services, and network resources. Data destruction is likely to render stored data irrecoverable by forensic techniques through overwriting files or data on local and remote drives.(Citation: Symantec Shamoon 2012)(Citation: FireEye Shamoon Nov 2016)(Citation: Palo Alto Shamoon Nov 2016)(Citation: Kaspersky StoneDrill 2017)(Citation: Unit 42 Shamoon3 2018)(Citation: Talos Olympic Destroyer 2018) Common operating system file deletion commands such as <code>del</code> "
T1485.001,Yes,T1485,Lifecycle-Triggered Deletion,Impact,TA0040,IaaS,,,M1018 User Account Management | M1053 Data Backup,https://attack.mitre.org/techniques/T1485/001,Adversaries may modify the lifecycle policies of a cloud storage bucket to destroy all objects stored within.  
T1486,No,,Data Encrypted for Impact,Impact,TA0040,ESXi; IaaS; Linux; macOS; Windows,,,M1040 Behavior Prevention on Endpoint | M1053 Data Backup,https://attack.mitre.org/techniques/T1486,Adversaries may encrypt data on target systems or on large numbers of systems in a network to interrupt availability to system and network resources. They can attempt to render stored data inaccessible by encrypting files or data on local and remote drives and withholding access to a decryption key. This may be done in order to extract monetary compensation from a victim in exchange for decryption or a decryption key (ransomware) or to render data permanently inaccessible in cases where the key is not saved or transmitted.(Citation: US-CERT Ransomware 2016)(Citation: FireEye WannaCry 2017)(Cit
T1489,No,,Service Stop,Impact,TA0040,ESXi; IaaS; Linux; macOS; Windows,,,M1018 User Account Management | M1022 Restrict File and Directory Permissions | M1024 Restrict Registry Permissions | M1030 Network Segmentation | M1060 Out-of-Band Communications Channel,https://attack.mitre.org/techniques/T1489,Adversaries may stop or disable services on a system to render those services unavailable to legitimate users. Stopping critical services or processes can inhibit or stop response to an incident or aid in the adversary's overall objectives to cause damage to the environment.(Citation: Talos Olympic Destroyer 2018)(Citation: Novetta Blockbuster) 
T1490,No,,Inhibit System Recovery,Impact,TA0040,Containers; ESXi; IaaS; Linux; macOS; Network Devices; Windows,,,M1018 User Account Management | M1028 Operating System Configuration | M1038 Execution Prevention | M1053 Data Backup,https://attack.mitre.org/techniques/T1490,Adversaries may delete or remove built-in data and turn off services designed to aid in the recovery of a corrupted system to prevent recovery.(Citation: Talos Olympic Destroyer 2018)(Citation: FireEye WannaCry 2017) This may deny access to available backups and recovery options.
T1491,No,,Defacement,Impact,TA0040,Windows; IaaS; Linux; macOS; ESXi,,,M1053 Data Backup,https://attack.mitre.org/techniques/T1491,"Adversaries may modify visual content available internally or externally to an enterprise network, thus affecting the integrity of the original content. Reasons for [Defacement](https://attack.mitre.org/techniques/T1491) include delivering messaging, intimidation, or claiming (possibly false) credit for an intrusion. Disturbing or offensive images may be used as a part of [Defacement](https://attack.mitre.org/techniques/T1491) in order to cause user discomfort, or to pressure compliance with accompanying messages. "
T1491.001,Yes,T1491,Internal Defacement,Impact,TA0040,ESXi; Linux; macOS; Windows,,,M1053 Data Backup,https://attack.mitre.org/techniques/T1491/001,"An adversary may deface systems internal to an organization in an attempt to intimidate or mislead users, thus discrediting the integrity of the systems. This may take the form of modifications to internal websites or server login messages, or directly to user systems with the replacement of the desktop wallpaper.(Citation: Novetta Blockbuster)(Citation: Varonis) Disturbing or offensive images may be used as a part of [Internal Defacement](https://attack.mitre.org/techniques/T1491/001) in order to cause user discomfort, or to pressure compliance with accompanying messages. Since internally def"
T1491.002,Yes,T1491,External Defacement,Impact,TA0040,Windows; IaaS; Linux; macOS,,,M1053 Data Backup,https://attack.mitre.org/techniques/T1491/002,"An adversary may deface systems external to an organization in an attempt to deliver messaging, intimidate, or otherwise mislead an organization or users. [External Defacement](https://attack.mitre.org/techniques/T1491/002) may ultimately cause users to distrust the systems and to question/discredit the system’s integrity. Externally-facing websites are a common victim of defacement; often targeted by adversary and hacktivist groups in order to push a political message or spread propaganda.(Citation: FireEye Cyber Threats to Media Industries)(Citation: Kevin Mandia Statement to US Senate Commi"
T1495,No,,Firmware Corruption,Impact,TA0040,Linux; macOS; Network Devices; Windows,,,M1026 Privileged Account Management | M1046 Boot Integrity | M1051 Update Software,https://attack.mitre.org/techniques/T1495,"Adversaries may overwrite or corrupt the flash memory contents of system BIOS or other firmware in devices attached to a system in order to render them inoperable or unable to boot, thus denying the availability to use the devices and/or the system.(Citation: Symantec Chernobyl W95.CIH) Firmware is software that is loaded and executed from non-volatile memory on hardware devices in order to initialize and manage device functionality. These devices may include the motherboard, hard drive, or video cards."
T1496,No,,Resource Hijacking,Impact,TA0040,Windows; IaaS; Linux; macOS; Containers; SaaS,,,,https://attack.mitre.org/techniques/T1496,"Adversaries may leverage the resources of co-opted systems to complete resource-intensive tasks, which may impact system and/or hosted service availability. "
T1496.001,Yes,T1496,Compute Hijacking,Impact,TA0040,Windows; IaaS; Linux; macOS; Containers,,,,https://attack.mitre.org/techniques/T1496/001,"Adversaries may leverage the compute resources of co-opted systems to complete resource-intensive tasks, which may impact system and/or hosted service availability. "
T1496.002,Yes,T1496,Bandwidth Hijacking,Impact,TA0040,Linux; Windows; macOS; IaaS; Containers,,,,https://attack.mitre.org/techniques/T1496/002,"Adversaries may leverage the network bandwidth resources of co-opted systems to complete resource-intensive tasks, which may impact system and/or hosted service availability. "
T1496.003,Yes,T1496,SMS Pumping,Impact,TA0040,SaaS,,,M1013 Application Developer Guidance,https://attack.mitre.org/techniques/T1496/003,"Adversaries may leverage messaging services for SMS pumping, which may impact system and/or hosted service availability.(Citation: Twilio SMS Pumping) SMS pumping is a type of telecommunications fraud whereby a threat actor first obtains a set of phone numbers from a telecommunications provider, then leverages a victim’s messaging infrastructure to send large amounts of SMS messages to numbers in that set. By generating SMS traffic to their phone number set, a threat actor may earn payments from the telecommunications provider.(Citation: Twilio SMS Pumping Fraud)"
T1496.004,Yes,T1496,Cloud Service Hijacking,Impact,TA0040,SaaS,,,,https://attack.mitre.org/techniques/T1496/004,"Adversaries may leverage compromised software-as-a-service (SaaS) applications to complete resource-intensive tasks, which may impact hosted service availability. "
T1497,No,,Virtualization/Sandbox Evasion,Stealth; Discovery,TA0005; TA0007,Linux; macOS; Windows,,,,https://attack.mitre.org/techniques/T1497,"Adversaries may employ various means to detect and avoid virtualization and analysis environments. This may include changing behaviors based on the results of checks for the presence of artifacts indicative of a virtual machine environment (VME) or sandbox. If the adversary detects a VME, they may alter their malware to disengage from the victim or conceal the core functions of the implant. They may also search for VME artifacts before dropping secondary or additional payloads. Adversaries may use the information learned from [Virtualization/Sandbox Evasion](https://attack.mitre.org/techniques"
T1497.001,Yes,T1497,System Checks,Stealth; Discovery,TA0005; TA0007,Linux; macOS; Windows,,,,https://attack.mitre.org/techniques/T1497/001,"Adversaries may employ various system checks to detect and avoid virtualization and analysis environments. This may include changing behaviors based on the results of checks for the presence of artifacts indicative of a virtual machine environment (VME) or sandbox. If the adversary detects a VME, they may alter their malware to disengage from the victim or conceal the core functions of the implant. They may also search for VME artifacts before dropping secondary or additional payloads. Adversaries may use the information learned from [Virtualization/Sandbox Evasion](https://attack.mitre.org/te"
T1497.002,Yes,T1497,User Activity Based Checks,Stealth; Discovery,TA0005; TA0007,Linux; macOS; Windows,,,,https://attack.mitre.org/techniques/T1497/002,"Adversaries may employ various user activity checks to detect and avoid virtualization and analysis environments. This may include changing behaviors based on the results of checks for the presence of artifacts indicative of a virtual machine environment (VME) or sandbox. If the adversary detects a VME, they may alter their malware to disengage from the victim or conceal the core functions of the implant. They may also search for VME artifacts before dropping secondary or additional payloads. Adversaries may use the information learned from [Virtualization/Sandbox Evasion](https://attack.mitre"
T1497.003,Yes,T1497,Time Based Checks,Stealth; Discovery,TA0005; TA0007,Linux; macOS; Windows,,,,https://attack.mitre.org/techniques/T1497/003,"Adversaries may employ various time-based methods to detect virtualization and analysis environments, particularly those that attempt to manipulate time mechanisms to simulate longer elapses of time. This may include enumerating time-based properties, such as uptime or the system clock. "
T1498,No,,Network Denial of Service,Impact,TA0040,Windows; IaaS; Linux; macOS; Containers,,,M1037 Filter Network Traffic,https://attack.mitre.org/techniques/T1498,"Adversaries may perform Network Denial of Service (DoS) attacks to degrade or block the availability of targeted resources to users. Network DoS can be performed by exhausting the network bandwidth services rely on. Example resources include specific websites, email services, DNS, and web-based applications. Adversaries have been observed conducting network DoS attacks for political purposes(Citation: FireEye OpPoisonedHandover February 2016) and to support other malicious activities, including distraction(Citation: FSISAC FraudNetDoS September 2012), hacktivism, and extortion.(Citation: Syman"
T1498.001,Yes,T1498,Direct Network Flood,Impact,TA0040,Windows; IaaS; Linux; macOS,,,M1037 Filter Network Traffic,https://attack.mitre.org/techniques/T1498/001,Adversaries may attempt to cause a denial of service (DoS) by directly sending a high-volume of network traffic to a target. This DoS attack may also reduce the availability and functionality of the targeted system(s) and network. [Direct Network Flood](https://attack.mitre.org/techniques/T1498/001)s are when one or more systems are used to send a high-volume of network packets towards the targeted service's network. Almost any network protocol may be used for flooding. Stateless protocols such as UDP or ICMP are commonly used but stateful protocols such as TCP can be used as well.
T1498.002,Yes,T1498,Reflection Amplification,Impact,TA0040,Windows; IaaS; Linux; macOS,,,M1037 Filter Network Traffic,https://attack.mitre.org/techniques/T1498/002,"Adversaries may attempt to cause a denial of service (DoS) by reflecting a high-volume of network traffic to a target. This type of Network DoS takes advantage of a third-party server intermediary that hosts and will respond to a given spoofed source IP address. This third-party server is commonly termed a reflector. An adversary accomplishes a reflection attack by sending packets to reflectors with the spoofed address of the victim. Similar to Direct Network Floods, more than one system may be used to conduct the attack, or a botnet may be used. Likewise, one or more reflectors may be used to"
T1499,No,,Endpoint Denial of Service,Impact,TA0040,Windows; Linux; macOS; Containers; IaaS,,,M1037 Filter Network Traffic,https://attack.mitre.org/techniques/T1499,"Adversaries may perform Endpoint Denial of Service (DoS) attacks to degrade or block the availability of services to users. Endpoint DoS can be performed by exhausting the system resources those services are hosted on or exploiting the system to cause a persistent crash condition. Example services include websites, email services, DNS, and web-based applications. Adversaries have been observed conducting DoS attacks for political purposes(Citation: FireEye OpPoisonedHandover February 2016) and to support other malicious activities, including distraction(Citation: FSISAC FraudNetDoS September 2"
T1499.001,Yes,T1499,OS Exhaustion Flood,Impact,TA0040,Linux; macOS; Windows,,,M1037 Filter Network Traffic,https://attack.mitre.org/techniques/T1499/001,Adversaries may launch a denial of service (DoS) attack targeting an endpoint's operating system (OS). A system's OS is responsible for managing the finite resources as well as preventing the entire system from being overwhelmed by excessive demands on its capacity. These attacks do not need to exhaust the actual resources on a system; the attacks may simply exhaust the limits and available resources that an OS self-imposes.
T1499.002,Yes,T1499,Service Exhaustion Flood,Impact,TA0040,Windows; IaaS; Linux; macOS,,,M1037 Filter Network Traffic,https://attack.mitre.org/techniques/T1499/002,"Adversaries may target the different network services provided by systems to conduct a denial of service (DoS). Adversaries often target the availability of DNS and web services, however others have been targeted as well.(Citation: Arbor AnnualDoSreport Jan 2018) Web server software can be attacked through a variety of means, some of which apply generally while others are specific to the software being used to provide the service."
T1499.003,Yes,T1499,Application Exhaustion Flood,Impact,TA0040,Windows; IaaS; Linux; macOS,,,M1037 Filter Network Traffic,https://attack.mitre.org/techniques/T1499/003,"Adversaries may target resource intensive features of applications to cause a denial of service (DoS), denying availability to those applications. For example, specific features in web applications may be highly resource intensive. Repeated requests to those features may be able to exhaust system resources and deny access to the application or the server itself.(Citation: Arbor AnnualDoSreport Jan 2018)"
T1499.004,Yes,T1499,Application or System Exploitation,Impact,TA0040,Windows; IaaS; Linux; macOS,,,M1037 Filter Network Traffic,https://attack.mitre.org/techniques/T1499/004,"Adversaries may exploit software vulnerabilities that can cause an application or system to crash and deny availability to users. (Citation: Sucuri BIND9 August 2015) Some systems may automatically restart critical applications and services when crashes occur, but they can likely be re-exploited to cause a persistent denial of service (DoS) condition."
T1505,No,,Server Software Component,Persistence,TA0003,Windows; Linux; macOS; Network Devices; ESXi,,,M1018 User Account Management | M1024 Restrict Registry Permissions | M1026 Privileged Account Management | M1042 Disable or Remove Feature or Program | M1045 Code Signing | M1046 Boot Integrity | M1047 Audit,https://attack.mitre.org/techniques/T1505,Adversaries may abuse legitimate extensible development features of servers to establish persistent access to systems. Enterprise server applications may include features that allow developers to write and install software or scripts to extend the functionality of the main application. Adversaries may install malicious components to extend and abuse server applications.(Citation: volexity_0day_sophos_FW)
T1505.001,Yes,T1505,SQL Stored Procedures,Persistence,TA0003,Windows; Linux,,,M1026 Privileged Account Management | M1045 Code Signing | M1047 Audit,https://attack.mitre.org/techniques/T1505/001,Adversaries may abuse SQL stored procedures to establish persistent access to systems. SQL Stored Procedures are code that can be saved and reused so that database users do not waste time rewriting frequently used SQL queries. Stored procedures can be invoked via SQL statements to the database using the procedure name or via defined events (e.g. when a SQL server application is started/restarted).
T1505.002,Yes,T1505,Transport Agent,Persistence,TA0003,Linux; Windows,,,M1026 Privileged Account Management | M1045 Code Signing | M1047 Audit,https://attack.mitre.org/techniques/T1505/002,"Adversaries may abuse Microsoft transport agents to establish persistent access to systems. Microsoft Exchange transport agents can operate on email messages passing through the transport pipeline to perform various tasks such as filtering spam, filtering malicious attachments, journaling, or adding a corporate signature to the end of all outgoing emails.(Citation: Microsoft TransportAgent Jun 2016)(Citation: ESET LightNeuron May 2019) Transport agents can be written by application developers and then compiled to .NET assemblies that are subsequently registered with the Exchange server. Transp"
